state,code,region,inegi code,state.long,state caps,state caps sa,state.new,state.new.long
Aguascalientes,AGU,Central,1,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,Aguascalientes
Baja California,BCN,North,2,Baja California,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,Baja California
Baja California Sur,BCS,North,3,Baja California Sur,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,Baja California Sur
Campeche,CAM,South,4,Campeche,CAMPECHE,CAMPECHE,Campeche,Campeche
Coahuila,COA,North,5,Coahuila de Zaragoza,COAHUILA,COAHUILA,Coahuila,Coahuila de Zaragoza
Colima,COL,West,6,Colima,COLIMA,COLIMA,Colima,Colima
Chiapas,CHP,South,7,Chiapas,CHIAPAS,CHIAPAS,Chiapas,Chiapas
Chihuahua,CHH,North,8,Chihuahua,CHIHUAHUA,CHIHUAHUA,Chihuahua,Chihuahua
Distrito Federal,DIF,Central,9,Distrito Federal,DISTRITO FEDERAL,DISTRITO FEDERAL,Ciudad de México,Ciudad de México
Durango,DUR,North,10,Durango,DURANGO,DURANGO,Durango,Durango
Guanajuato,GUA,Central,11,Guanajuato,GUANAJUATO,GUANAJUATO,Guanajuato,Guanajuato
Guerrero,GRO,South,12,Guerrero,GUERRERO,GUERRERO,Guerrero,Guerrero
Hidalgo,HID,East,13,Hidalgo,HIDALGO,HIDALGO,Hidalgo,Hidalgo
Jalisco,JAL,West,14,Jalisco,JALISCO,JALISCO,Jalisco,Jalisco
México,MEX,Central,15,Estado de México,MÉXICO,MEXICO,Estado de México,México
Michoacán,MIC,West,16,Michoacán de Ocampo,MICHOACÁN,MICHOACAN,Michoacán,Michoacán de Ocampo
Morelos,MOR,Central,17,Morelos,MORELOS,MORELOS,Morelos,Morelos
Nayarit,NAY,West,18,Nayarit,NAYARIT,NAYARIT,Nayarit,Nayarit
Nuevo León,NLE,North,19,Nuevo León,NUEVO LEÓN,NUEVO LEON,Nuevo León,Nuevo León
Oaxaca,OAX,South,20,Oaxaca,OAXACA,OAXACA,Oaxaca,Oaxaca
Puebla,PUE,East,21,Puebla,PUEBLA,PUEBLA,Puebla,Puebla
Querétaro,QUE,Central,22,Querétaro,QUERÉTARO,QUERETARO,Querétaro,Querétaro
Quintana Roo,ROO,South,23,Quintana Roo,QUINTANA ROO,QUINTANA ROO,Quintana Roo,Quintana Roo
San Luis Potosí,SLP,Central,24,San Luis Potosí,SAN LUIS POTOSÍ,SAN LUIS POTOSI,San Luis Potosí,San Luis Potosí
Sinaloa,SIN,North,25,Sinaloa,SINALOA,SINALOA,Sinaloa,Sinaloa
Sonora,SON,North,26,Sonora,SONORA,SONORA,Sonora,Sonora
Tabasco,TAB,South,27,Tabasco,TABASCO,TABASCO,Tabasco,Tabasco
Tamaulipas,TAM,North,28,Tamaulipas,TAMAULIPAS,TAMAULIPAS,Tamaulipas,Tamaulipas
Tlaxcala,TLA,East,29,Tlaxcala,TLAXCALA,TLAXCALA,Tlaxcala,Tlaxcala
Veracruz,VER,East,30,Veracruz de Ignacio de la Llave,VERACRUZ,VERACRUZ,Veracruz,Veracruz de Ignacio de la Llave
Yucatán,YUC,South,31,Yucatán,YUCATÁN,YUCATAN,Yucatán,Yucatán
Zacatecas,ZAC,Central,32,Zacatecas,ZACATECAS,ZACATECAS,Zacatecas,Zacatecas
National,National,National,0,National,National,National,National,National
North,North,North,,North,North,North,North,North
South,South,South,,South,South,South,South,South
Central,Central,Central,,Central,Central,Central,Central,Central
East,East,East,,East,East,East,East,East
West,West,West,,West,West,West,West,West
